Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
reactortornode,UA,58263,128,78.109.23.1,tornode.torreactor.ml,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-12-18,HOSTING-AS http://hosting.ua- UA,41665,146000,None
hviv104,NL,49816,500,192.42.116.16,tor-exit.hartvoorinternetvrijheid.nl,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2014-04-09,IP-EEND-AS IP-EEND BV- NL,1101,184000,None
0x3d004,DE,48768,487,62.138.7.171,snowden.pep-security.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-08-24,PLUSSERVER-AS- DE,8972,227000,None
chulak,RO,46328,838,176.126.252.11,chulak.enn.lu,9001,443,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-04-09,ALISTAR-AS- RO,60118,107000,[2a02:59e0:0:7::11]:9003
poiuty,FR,42496,816,5.39.64.7,ns3060920.ip-5-39-64.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-01-26,OVH - FR,16276,201000,[2001:41d0:8:8007::]:9001
calliprhugenasty09,NL,40823,2276,46.166.148.176,46.166.148.176,8080,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-10-17,NFORCE - NL,43350,113000,None
cry,NL,38577,298,192.42.115.101,cry.ip-eend.nl,9003,8080,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-04-22,SURFNET-NL SURFnet- The Netherlands- NL,1103,183000,[2001:610:510:115:192:42:115:101]:9003
calliprhugenasty10,NL,36436,2276,46.166.148.177,46.166.148.177,8081,9031,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-10-17,NFORCE - NL,43350,105000,None
redjohn1,FR,35338,261,62.210.92.11,redjohn.tk,9101,9130,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-12-09,AS12876- FR,12876,145000,[2001:bc8:338c::1]:9101
Hermes,FR,34885,552,62.210.245.158,hermes.exit.torworld.org,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-09-30,AS12876- FR,12876,104000,None
dopper,NL,34425,298,192.42.113.102,freedom.ip-eend.nl,9001,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-04-22,SURFNET-NL SURFnet- The Netherlands- NL,1103,130000,None
orion,LU,34362,838,94.242.246.24,orion.enn.lu,8080,23,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-04-29,ROOT- LU,5577,128000,[2a01:608:ffff:ff07::1:24]:9004
aurora,RO,32577,838,176.126.252.12,aurora.enn.lu,8080,21,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-04-09,ALISTAR-AS- RO,60118,76600,[2a02:59e0:0:7::12]:81
torfa,HU,32217,1424,79.172.193.32,toreador.webenlet.hu,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-01-05,DENINET-HU-AS- HU,29278,83500,None
apx2,NL,31859,550,185.38.14.171,tor-exit.r2.apx.pub,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.1.0-alpha-dev on Linux,0,0,2015-02-02,YISP-AS - NL,58073,65700,None
inky,CH,31296,453,82.220.89.53,dynamic-82-220-89-53.ftth.solnet.ch,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-11-15,SOLNET- CH,9044,127000,None
Binder0,SC,30589,1452,185.165.168.196,185.165.168.196,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-02-08,FLOKINET - RO,200651,89700,None
redjohn,FR,29801,261,62.210.92.11,redjohn.tk,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-11-17,AS12876- FR,12876,147000,[2001:bc8:338c::1]:9001
csailmitexit,US,29765,147,128.52.128.105,tor-exit.csail.mit.edu,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on FreeBSD,0,0,2013-10-02,MIT-GATEWAYS - Massachusetts Institute of Technology- US,3,55800,None
destiny,LU,29591,838,94.242.246.23,destiny.enn.lu,9001,443,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-04-29,ROOT- LU,5577,110000,[2a01:608:ffff:ff07::1:23]:9003
apx1,NL,29093,550,185.38.14.215,tor-exit.r1.apx.pub,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.1.0-alpha-dev on Linux,0,0,2014-11-04,YISP-AS- NL,58073,55000,None
Onyx,NL,28357,298,192.42.115.102,onyx.ip-eend.nl,9004,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-04-22,SURFNET-NL SURFnet- The Netherlands- NL,1103,115000,[2001:610:510:115:192:42:115:102]:9004
romi,RO,27913,1167,185.100.87.143,185.100.87.143,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-02-02,FLOKINET - RO,200651,62300,None
hessel2,RO,27815,758,109.163.234.5,hessel3.torservers.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-09-02,VOXILITY- RO,3223,113000,None
edwardsnowden1,RO,27356,758,109.163.234.8,edwardsnowden1.torservers.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-11-15,VOXILITY- RO,3223,115000,None
tollana,SK,27211,838,85.248.227.164,tollana.enn.lu,9002,444,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-01-22,GTS-SK-AS Bratislava- Slovak Republic- CZ,5578,60300,[2a00:1298:8011:212::164]:9004
amazonas,NL,27200,750,77.247.181.163,lumumba.torservers.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2014-02-13,NFORCE- NL,43350,58500,[2a00:1768:1001:21::32a3:201a]:443
IPredator,LR,26129,48,197.231.221.211,exit1.ipredator.se,443,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.0.3-alpha on FreeBSD,0,0,2014-04-19,CYBERDYNE- LR,37560,119000,None
0x3d001,FR,25760,487,91.121.23.100,0x3d.lu,8001,8030,0,0,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-05-31,OVH- FR,16276,62000,None
0x3d002,FR,25519,487,91.121.23.100,0x3d.lu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2014-04-22,OVH- FR,16276,81200,None
politkovskaja2,NL,25191,750,77.247.181.165,politkovskaja.torservers.net,110,None,0,1,1,1,0,1,1,1,0,Tor 0.3.0.4-rc on Linux,0,0,2014-02-13,NFORCE- NL,43350,54900,None
MilesPrower,FR,25042,931,62.210.129.246,relay1.tor.openinternet.io,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-01-28,AS12876- FR,12876,83500,None
politkovskaja,NL,24994,750,77.247.181.165,politkovskaja.torservers.net,443,None,0,1,1,1,0,1,1,1,0,Tor 0.3.0.4-rc on Linux,0,0,2014-02-13,NFORCE- NL,43350,54400,None
porthill,DE,24898,767,136.243.176.148,static.148.176.243.136.clients.your-server.de,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-02-03,HETZNER-AS- DE,24940,88700,None
quadhead,DE,24299,53,148.251.190.229,tor3.quadhead.de,9010,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-01-19,HETZNER-AS- DE,24940,99800,[2a01:4f8:211:c68::2]:9010
Unnamed,FR,24015,5533,46.105.100.149,secreto21.idfnv.net,9001,None,0,1,1,1,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2016-08-21,OVH- FR,16276,76200,None
kree,SK,23691,838,85.248.227.165,85.248.227.165,9003,445,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-05-16,GTS-SK-AS Bratislava- Slovak Republic- CZ,5578,49500,[2a00:1298:8011:212::165]:9005
x76slvferal2,GB,23232,1539,185.21.216.157,thisis.feralhosting.com,9003,9004,0,0,1,1,0,1,1,1,1,Tor 0.3.0.3-alpha on Linux,0,0,2016-10-03,FERAL Feral Hosting- GB,200052,94200,None
apx3,NL,23211,550,37.220.35.202,tor-exit.r3.apx.pub,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.1.0-alpha-dev on Linux,0,0,2015-07-26,YISP-AS- NL,58073,52100,None
Alastor,FR,23143,1035,62.210.123.24,62-210-123-24.rev.poneytelecom.eu,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-03-01,AS12876 - FR,12876,87600,[2001:bc8:30c6:100::dead]:443
hessel0,RO,22343,758,109.163.234.2,hessel0.torservers.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-09-02,VOXILITY- RO,3223,79100,None
redteam01,US,22340,1166,209.222.77.220,tor-relay.redteam.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-08-28,ST-BGP - Sharktech- US,46844,123000,None
3cce3a91f6a625,NL,22003,509,85.145.173.31,31-173-145-85.ftth.glasoperator.nl,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2014-04-12,TMOBILE-THUIS- NL,50266,119000,None
memcpy,FR,21979,1388,163.172.67.180,tor-exit-readme.memcpy.io,8081,8082,0,1,1,1,0,1,1,1,1,Tor 0.3.0.3-alpha on Linux,0,0,2016-11-09,AS12876- FR,12876,94500,None
PhantomTrain4,US,21943,642,65.19.167.131,65.19.167.131,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-12-11,HURRICANE - Hurricane Electric- Inc.- US,6939,49700,None
anonymiton,DE,21884,410,138.201.132.17,static.17.132.201.138.clients.your-server.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-08-13,HETZNER-AS - DE,24940,69500,None
MariaBonita,GB,21408,2920,139.59.172.93,139.59.172.93,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-05-04,DIGITALOCEAN-ASN-2 - GB,202109,89500,None
criticalmass,SE,21385,30,192.36.27.4,192.36.27.4,443,None,0,1,1,0,0,0,1,1,0,Tor 0.3.0.4-rc on Linux,0,0,2016-12-30,ZWIEBELFREUNDE - AT,60729,71800,[2a03:f85:8::4]:443
TotallyNinja,GB,21364,343,185.21.217.13,thisis.feralhosting.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-09-10,FERAL Feral Hosting- GB,200052,89800,None
DFRI1,SE,21318,699,171.25.193.77,tor-exit1-readme.dfri.se,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on FreeBSD,0,0,2012-02-02,DFRI-AS - SE,198093,49200,[2001:67c:289c:3::77]:443
hessel1,RO,21076,758,109.163.234.4,hessel2.torservers.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-09-02,VOXILITY- RO,3223,80700,None
Unnamed,NL,21050,630,192.42.116.161,anonymous.as1101.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.4-alpha on FreeBSD,0,0,2013-12-13,IP-EEND-AS IP-EEND BV- NL,1101,76400,None
iVPN,SE,20997,30,192.36.27.6,192.36.27.6,80,None,0,1,1,0,0,0,1,1,0,Tor 0.3.0.4-rc on Linux,0,0,2016-12-30,ZWIEBELFREUNDE - AT,60729,76400,[2a03:f85:8::6]:80
TykRelay02,DE,20898,2852,144.76.253.229,torrelay.kush.tyknet.dk,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.10 on FreeBSD,0,0,2016-01-03,HETZNER-AS- DE,24940,97400,None
